IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Value,FactValueTranslationID,Language,DateModified,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,0.194829,0.881266,0.258188,4.565311,0.832937,2.836835,1.777433,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,2.417025,3.249051,368000.0,,,,,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,0.194829,0.881266,0.258188,4.565311,0.832937,2.836835,1.777433,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,2.417025,3.249051,368000.0,,,,,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,0.194829,0.881266,0.258188,4.565311,0.832937,2.836835,1.777433,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AMR,Americas,Country,BLZ,Belize,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Belize,BLZ,2016.0,2.417025,3.249051,368000.0,,,,,7.784886,2723.527602
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,0.170172,0.63994,0.11925,2.903462,0.502539,3.628211,0.989202,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,2.928881,4.263716,10872000.0,,,,,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,0.170172,0.63994,0.11925,2.903462,0.502539,3.628211,0.989202,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,2.928881,4.263716,10872000.0,,,,,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,0.170172,0.63994,0.11925,2.903462,0.502539,3.628211,0.989202,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,BEN,Benin,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Benin,BEN,2016.0,2.928881,4.263716,10872000.0,,,,,11.234851,3580.185197
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Bhutan,BTN,2016.0,0.267347,0.595546,0.17001,3.799415,0.533551,3.429823,2.366019,5.784971,3320.457427
